Combination,Upward (%),Downward (%),Lateral (%),Total Migrants
2011+IMD2010,42.503022423847284,40.14689825786058,17.35007931829214,768423
2011+IMD2019,42.7169670871382,41.13333411415327,16.149698798708524,768423
2021+IMD2010,40.11744261593577,35.49018789252996,24.392369491534268,766502
2021+IMD2019,40.49174039989459,36.281314334470096,23.226945265635315,766502
