OD Year,Metric,Pearson r,Pearson p,Spearman ρ,Spearman p,MAD,Relative MAD (%)
2011,Inflow_Wealthier,0.8980554518135786,0.0,0.9119610028292502,0.0,73.79247202441506,23.513280475076016
2011,Outflow_Poorer,0.8658224260090165,2.866245115014535e-297,0.8496746526127626,6.624315966842936e-275,76.76297049847406,24.4598020084409
2011,Net_Cascade,0.8426235143512388,5.96802640979836e-266,0.8521647580933733,3.5338988711477476e-278,147.04170905391658,46.55316791631239
2011,CFI_Churn,0.9632111421168846,0.0,0.9599731168403041,0.0,53.30620549338759,8.492761703479438
2011,CFI_Rate,0.7829176991400554,2.0238444472109174e-204,0.7691543598113281,5.7285996564497875e-193,14.19228142880726,34.01182719217125
2011,Pct_Inflow_Wealthier,0.8807436460519946,1.081e-320,0.8842207778411783,0.0,9.01004699931287,23.959299037107765
2021,Inflow_Wealthier,0.9104038129221244,0.0,0.9240732930206407,0.0,64.00813835198372,23.12954678292707
2021,Outflow_Poorer,0.8757791793600579,1.450259268726e-312,0.86904610817039,4.3954818757760447e-302,66.67141403865718,24.091930023195715
2021,Net_Cascade,0.8446012924834838,2.0384361731921128e-268,0.8604223309863331,1.7693337877767826e-289,127.93082400813836,46.37944133418896
2021,CFI_Churn,0.974447281036714,0.0,0.9711115639763457,0.0,42.691759918616484,7.7134024180889815
2021,CFI_Rate,0.8208409378274993,7.388639123417906e-241,0.7922813693419356,1.0575449838022897e-212,10.64336148611954,32.39042941705222
2021,Pct_Inflow_Wealthier,0.9003165478411671,0.0,0.9050233658506281,0.0,7.722684622736283,23.233263996778135
