msoa11cd,ladnm,Ring,Wealth_Decile_National,Typ_A_11,Typ_C_11,Casc_Inflow_Share_11,Ext_Arm_Share_11,leaf_11,Typ_A_21,Typ_C_21,Casc_Inflow_Share_21,Ext_Arm_Share_21,leaf_21,Genuine_Persistent
E02000178,Camden,Inner,3,Cascade-led,Cascade-led,0.7004189944134078,0.0,inflow-driven,Symmetric,Counter-led,0.6694528875379939,0.0,,False
E02000179,Camden,Inner,4,Counter-led,Counter-led,0.694300518134715,0.0,,Cascade-led,Symmetric,0.5213549337260678,0.0,,False
E02000180,Camden,Inner,3,Cascade-led,Cascade-led,0.5926150121065376,0.0,inflow-driven,Symmetric,Counter-led,0.6010318142734308,0.0,,False
E02000181,Camden,Inner,6,Cascade-led,Lateral,0.1377358490566037,0.0,,Symmetric,Lateral,0.1563146997929606,0.0,,False
E02000182,Camden,Inner,5,Cascade-led,Symmetric,0.5406060606060606,0.0,,Counter-led,Counter-led,0.5188794153471377,0.0,,False
E02000183,Camden,Inner,5,Symmetric,Symmetric,0.435957696827262,0.0,,Counter-led,Counter-led,0.4099290780141844,0.0,,False
E02000184,Camden,Inner,2,Symmetric,Cascade-led,0.892515923566879,0.0,frame-sensitive inflow,Cascade-led,Cascade-led,0.8797814207650273,0.0,inflow-driven,False
E02000185,Camden,Inner,2,Counter-led,Counter-led,0.8689581095596133,0.0,,Symmetric,Counter-led,0.8445154419595314,0.0,,False
E02000186,Camden,Inner,3,Symmetric,Cascade-led,0.6556233653007847,0.0,frame-sensitive inflow,Symmetric,Symmetric,0.6733212341197822,0.0,,False
E02000187,Camden,Inner,2,Symmetric,Cascade-led,0.8848413631022327,0.0,frame-sensitive inflow,Symmetric,Symmetric,0.8651574803149606,0.0,,False
E02000188,Camden,Inner,2,Cascade-led,Cascade-led,0.931185944363104,0.0,inflow-driven,Symmetric,Symmetric,0.8905109489051095,0.0,,False
E02000189,Camden,Inner,4,Cascade-led,Cascade-led,0.4954846478025286,0.0,inflow-driven,Cascade-led,Cascade-led,0.5476782752902156,0.0,inflow-driven,True
E02000191,Camden,Inner,5,Cascade-led,Cascade-led,0.46,0.0,inflow-driven,Cascade-led,Cascade-led,0.3985441310282074,0.0,inflow-driven,True
E02000192,Camden,Inner,3,Cascade-led,Cascade-led,0.7262313860252004,0.0,inflow-driven,Symmetric,Symmetric,0.6643059490084986,0.0,,False
E02000193,Camden,Inner,4,Symmetric,Cascade-led,0.6289355322338831,0.0,frame-sensitive inflow,Symmetric,Symmetric,0.5905432595573441,0.0,,False
