origin_cat,london_analysis,ew_non_london,boundary_changed,scotland,n_ireland,special_code,unknown
london_analysis,851937,218136,0,0,0,0,1085
ew_non_london,177355,4845548,0,0,0,0,1373
boundary_changed,0,0,0,0,0,0,0
scotland,7986,32438,0,0,0,0,22
n_ireland,0,0,0,0,0,0,0
special_code,197403,414746,0,0,0,0,339
unknown,2254,9566,0,0,0,0,10
