msoa21cd,canonical_msoa11,relation
E02000980,E02000980,unchanged
E02000981,E02000981,unchanged
E02000982,E02000982,unchanged
E02000983,E02000983,unchanged
E02006782,E02006782,unchanged
E02006783,E02006783,unchanged
E02006784,E02006784,unchanged
E02006785,E02006785,unchanged
E02006786,E02006786,unchanged
E02006787,E02006787,unchanged
E02006788,E02006788,unchanged
E02006789,E02006789,unchanged
E02006791,E02006791,unchanged
E02006792,E02006792,unchanged
E02006793,E02006793,unchanged
E02006794,E02006794,unchanged
E02006795,E02006795,unchanged
E02006796,E02006796,unchanged
E02006798,E02006798,unchanged
E02006799,E02006799,unchanged
E02006800,E02006800,unchanged
E02006801,E02006801,unchanged
E02006802,E02006802,unchanged
E02006836,E02006836,unchanged
E02006853,E02006853,unchanged
E02006854,E02006854,unchanged
E02006882,E02006882,unchanged
E02006918,E02006918,unchanged
E02006921,E02006921,unchanged
E02006924,E02006924,unchanged
E02006925,E02006925,unchanged
E02006927,E02006927,unchanged
E02006928,E02006928,unchanged
E02006930,E02006930,unchanged
E02006931,E02006931,unchanged
E02006941,E02000809,split
E02006942,E02000809,split
E02006953,E02000053,split
E02006954,E02000053,split
E02006955,E02000109,split
E02006956,E02000109,split
E02006968,E02000257,split
E02006969,E02000257,split
E02006970,E02000274,split
E02006971,E02000274,split
E02006972,E02000528,split
E02006973,E02000528,split
E02006987,E02000220,split
E02006988,E02000220,split
E02006991,E02000316,split
E02006992,E02006929,split
E02006993,E02006929,split
E02006994,E02000316,split
E02006995,E02000726,split
E02006996,E02000726,split
E02006997,E02000726,split
E02006998,E02000750,split
E02006999,E02000750,split
E02007008,E02000664,split
E02007009,E02000664,split
E02007017,E02000769,split
E02007018,E02000769,split
E02007019,E02000780,split
E02007020,E02000780,split
E02007083,E02000924,split
E02007084,E02000924,split
E02007108,E02000365,split
E02007109,E02000365,split
E02007110,E02000371,split
E02007111,E02000371,split
E02007112,E02000891,split
E02007113,E02000891,split
E02007114,E02000891,split
E02007115,E02000189,merge
