msoa21cd,canonical_msoa11,relation
E02000224,E02000224,unchanged
E02000225,E02000225,unchanged
E02000226,E02000226,unchanged
E02000227,E02000227,unchanged
E02000228,E02000228,unchanged
E02000229,E02000229,unchanged
E02000230,E02000230,unchanged
E02000231,E02000231,unchanged
E02000232,E02000232,unchanged
E02000233,E02000233,unchanged
E02000234,E02000234,unchanged
E02000235,E02000235,unchanged
E02000236,E02000236,unchanged
E02000237,E02000237,unchanged
E02000238,E02000238,unchanged
E02000239,E02000239,unchanged
E02000240,E02000240,unchanged
E02000241,E02000241,unchanged
E02000242,E02000242,unchanged
E02000243,E02000243,unchanged
E02000244,E02000244,unchanged
E02000245,E02000245,unchanged
E02000246,E02000246,unchanged
E02000247,E02000247,unchanged
E02000248,E02000248,unchanged
E02000249,E02000249,unchanged
E02000250,E02000250,unchanged
E02000251,E02000251,unchanged
E02000252,E02000252,unchanged
E02000253,E02000253,unchanged
E02000254,E02000254,unchanged
E02000255,E02000255,unchanged
E02000256,E02000256,unchanged
E02000258,E02000258,unchanged
E02000259,E02000259,unchanged
E02000260,E02000260,unchanged
E02000261,E02000261,unchanged
E02000262,E02000262,unchanged
E02000263,E02000263,unchanged
E02000264,E02000264,unchanged
E02000265,E02000265,unchanged
E02000266,E02000266,unchanged
E02000267,E02000267,unchanged
E02000268,E02000268,unchanged
E02000269,E02000269,unchanged
E02000270,E02000270,unchanged
E02000271,E02000271,unchanged
E02000272,E02000272,unchanged
E02000275,E02000275,unchanged
E02000276,E02000276,unchanged
E02000277,E02000277,unchanged
E02000278,E02000278,unchanged
E02000279,E02000279,unchanged
E02000280,E02000280,unchanged
E02000281,E02000281,unchanged
E02000282,E02000282,unchanged
E02000283,E02000283,unchanged
E02000284,E02000284,unchanged
E02000285,E02000285,unchanged
E02000286,E02000286,unchanged
E02000287,E02000287,unchanged
E02000288,E02000288,unchanged
E02000289,E02000289,unchanged
E02000290,E02000290,unchanged
E02000291,E02000291,unchanged
E02000292,E02000292,unchanged
E02000293,E02000293,unchanged
E02000294,E02000294,unchanged
E02000295,E02000295,unchanged
E02000296,E02000296,unchanged
E02000297,E02000297,unchanged
E02000298,E02000298,unchanged
E02000299,E02000299,unchanged
E02000300,E02000300,unchanged
E02000301,E02000301,unchanged
E02000302,E02000302,unchanged
E02000303,E02000303,unchanged
E02000304,E02000304,unchanged
E02000305,E02000305,unchanged
E02000306,E02000306,unchanged
E02000307,E02000307,unchanged
E02000308,E02000308,unchanged
E02000309,E02000309,unchanged
E02000311,E02000311,unchanged
E02000312,E02000312,unchanged
E02000313,E02000313,unchanged
E02000314,E02000314,unchanged
E02000315,E02000315,unchanged
E02000317,E02000317,unchanged
E02000318,E02000318,unchanged
E02000319,E02000319,unchanged
E02000320,E02000320,unchanged
E02000321,E02000321,unchanged
E02000323,E02000323,unchanged
E02000324,E02000324,unchanged
E02000326,E02000326,unchanged
E02000327,E02000327,unchanged
E02000328,E02000328,unchanged
E02000329,E02000329,unchanged
E02000331,E02000331,unchanged
E02000332,E02000332,unchanged
E02000333,E02000333,unchanged
E02000334,E02000334,unchanged
E02000335,E02000335,unchanged
E02000337,E02000337,unchanged
E02000339,E02000339,unchanged
E02000340,E02000340,unchanged
E02000341,E02000341,unchanged
E02000342,E02000342,unchanged
E02000343,E02000343,unchanged
E02000344,E02000344,unchanged
E02000345,E02000345,unchanged
E02000346,E02000346,unchanged
E02000347,E02000347,unchanged
E02000348,E02000348,unchanged
E02000350,E02000350,unchanged
E02000351,E02000351,unchanged
E02000352,E02000352,unchanged
E02000353,E02000353,unchanged
E02000354,E02000354,unchanged
E02000355,E02000355,unchanged
E02000356,E02000356,unchanged
E02000357,E02000357,unchanged
E02000358,E02000358,unchanged
E02000359,E02000359,unchanged
E02000360,E02000360,unchanged
E02000361,E02000361,unchanged
E02000362,E02000362,unchanged
E02000363,E02000363,unchanged
E02000364,E02000364,unchanged
E02000366,E02000366,unchanged
E02000367,E02000367,unchanged
E02000368,E02000368,unchanged
E02000369,E02000369,unchanged
E02000370,E02000370,unchanged
E02000372,E02000372,unchanged
E02000373,E02000373,unchanged
E02000374,E02000374,unchanged
E02000375,E02000375,unchanged
E02000376,E02000376,unchanged
E02000377,E02000377,unchanged
E02000378,E02000378,unchanged
E02000379,E02000379,unchanged
E02000380,E02000380,unchanged
E02000381,E02000381,unchanged
E02000382,E02000382,unchanged
E02000383,E02000383,unchanged
E02000384,E02000384,unchanged
E02000385,E02000385,unchanged
E02000386,E02000386,unchanged
E02000387,E02000387,unchanged
E02000388,E02000388,unchanged
E02000389,E02000389,unchanged
E02000390,E02000390,unchanged
E02000391,E02000391,unchanged
E02000392,E02000392,unchanged
E02000393,E02000393,unchanged
E02000394,E02000394,unchanged
E02000395,E02000395,unchanged
E02000396,E02000396,unchanged
E02000397,E02000397,unchanged
E02000398,E02000398,unchanged
E02000400,E02000400,unchanged
E02000401,E02000401,unchanged
E02000402,E02000402,unchanged
E02000403,E02000403,unchanged
E02000404,E02000404,unchanged
E02000405,E02000405,unchanged
E02000406,E02000406,unchanged
E02000407,E02000407,unchanged
E02000408,E02000408,unchanged
E02000409,E02000409,unchanged
E02000410,E02000410,unchanged
E02000411,E02000411,unchanged
E02000412,E02000412,unchanged
E02000413,E02000413,unchanged
E02000414,E02000414,unchanged
E02000415,E02000415,unchanged
E02000416,E02000416,unchanged
E02000417,E02000417,unchanged
E02000418,E02000418,unchanged
