msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21
E02000037,Barnet,8,9,14.989475833333335,11.291166666666667,-3.698309166666668,145.0,331.0,689,563,1252,476.0,38.334664536741215,-186.0,21.04499274310595,108.0,221.0,625.0,521.0,1146.0,329.0,20.827225130890053,-113.0,17.28
E02000038,Barnet,8,7,15.607091666666667,15.811833333333334,0.20474166666666704,175.0,471.0,974,850,1824,646.0,45.1891447368421,-296.0,17.967145790554415,90.0,379.0,812.0,750.0,1562.0,469.0,21.837387964148526,-289.0,11.083743842364532
E02000039,Barnet,9,9,10.868991,10.53275,-0.33624099999999935,23.0,380.0,467,502,969,403.0,9.019607843137255,-357.0,4.925053533190578,22.0,258.0,537.0,412.0,949.0,280.0,5.981032665964173,-236.0,4.0968342644320295
E02000040,Barnet,7,7,18.05744275,15.750250000000001,-2.3071927499999987,374.0,259.0,663,695,1358,633.0,71.3298969072165,115.0,56.41025641025641,338.0,144.0,791.0,492.0,1283.0,482.0,37.9360872954014,194.0,42.7307206068268
E02000041,Barnet,7,6,17.778252000000002,18.5208,0.7425479999999993,360.0,255.0,739,622,1361,615.0,67.4504041146216,105.0,48.714479025710425,270.0,233.0,646.0,583.0,1229.0,503.0,51.18795768917819,37.0,41.795665634674926
E02000042,Barnet,8,8,16.20734,14.8745,-1.3328399999999991,262.0,439.0,1199,948,2147,701.0,53.57149510945506,-177.0,21.851542952460385,166.0,397.0,1119.0,1050.0,2169.0,563.0,30.383586906408482,-231.0,14.83467381590706
E02000043,Barnet,10,10,8.2839764,7.3962,-0.8877763999999999,0.0,585.0,603,641,1244,585.0,0.0,-585.0,0.0,0.0,454.0,518.0,499.0,1017.0,454.0,0.0,-454.0,0.0
E02000044,Barnet,6,4,23.0210196,23.834200000000003,0.8131804000000038,343.0,220.0,644,665,1309,563.0,57.64705882352941,123.0,53.2608695652174,235.0,145.0,512.0,497.0,1009.0,380.0,33.77106045589693,90.0,45.8984375
E02000045,Barnet,6,6,22.11035166666667,20.138499999999997,-1.971851666666673,504.0,245.0,854,764,1618,749.0,76.31644004944376,259.0,59.01639344262295,329.0,250.0,773.0,794.0,1567.0,579.0,52.488832163369494,79.0,42.5614489003881
E02000046,Barnet,8,8,14.184187499999998,12.43975,-1.7444374999999983,226.0,377.0,800,830,1630,603.0,52.27116564417178,-151.0,28.249999999999996,148.0,411.0,749.0,831.0,1580.0,559.0,38.49873417721519,-263.0,19.759679572763687
E02000047,Barnet,5,4,26.25945333333333,26.3125,0.05304666666667046,640.0,201.0,1048,946,1994,841.0,64.5135406218656,439.0,61.06870229007634,484.0,124.0,866.0,850.0,1716.0,608.0,34.97435897435897,360.0,55.8891454965358
E02000048,Barnet,9,8,12.3057776,12.468,0.1622223999999992,72.0,518.0,788,758,1546,590.0,24.124191461837,-446.0,9.137055837563452,64.0,492.0,689.0,743.0,1432.0,556.0,21.988826815642458,-428.0,9.288824383164005
E02000049,Barnet,2,1,37.335024,35.8512,-1.4838239999999985,561.0,30.0,590,913,1503,591.0,11.197604790419161,531.0,95.08474576271186,430.0,27.0,543.0,504.0,1047.0,457.0,11.088825214899714,403.0,79.18968692449356
E02000050,Barnet,6,7,21.830268166666666,18.220499999999998,-3.6097681666666688,552.0,294.0,910,942,1852,846.0,87.62850971922246,258.0,60.65934065934066,438.0,184.0,794.0,774.0,1568.0,622.0,51.39795918367347,254.0,55.16372795969773
E02000051,Barnet,9,9,12.8546876,10.2584,-2.5962876,102.0,617.0,860,801,1661,719.0,37.88922335942203,-515.0,11.86046511627907,120.0,589.0,800.0,873.0,1673.0,709.0,42.24745965331739,-469.0,15.0
