msoa11cd,ladnm,Wealth_Decile,IMD_Pctile_Change,Typology_11,Cascade_Dominance_11,Cross_Decile_Share_11,Sign_Concordance_11,Typology_21,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_21
E02000001,City of London,9,-0.1668362156663275,Cascade-led,0.5599173553719008,0.9373789541639768,concordant,Counter-led,0.4452316076294278,0.9235027679919476,concordant
E02000002,Barking and Dagenham,1,0.0,Cascade-led,0.5909631391200951,0.8616803278688525,concordant,Cascade-led,0.53125,0.8544726301735648,concordant
E02000003,Barking and Dagenham,5,-0.1068158697863682,Counter-led,0.4603174603174603,0.9402985074626866,concordant,Counter-led,0.4159631619339984,0.9517896274653032,concordant
E02000004,Barking and Dagenham,6,-0.1495422177009155,Counter-led,0.3839150227617602,0.937411095305832,concordant,Counter-led,0.3338129496402878,0.9391891891891893,concordant
E02000005,Barking and Dagenham,4,-0.103763987792472,Counter-led,0.4589235127478753,0.8944256756756757,concordant,Counter-led,0.4239543726235741,0.8900169204737732,divergent
E02000007,Barking and Dagenham,2,-0.0671414038657171,Cascade-led,0.5503062117235346,0.7931991672449688,concordant,Counter-led,0.436308926780341,0.819227608874281,concordant
E02000008,Barking and Dagenham,3,-0.1200406917599186,Counter-led,0.4707581227436823,0.8491722869405273,divergent,Counter-led,0.3895297249334516,0.8609625668449198,divergent
E02000009,Barking and Dagenham,4,-0.288911495422177,Symmetric,0.5099085365853658,0.8961748633879781,concordant,Counter-led,0.4305435720448662,0.8793626707132018,concordant
E02000010,Barking and Dagenham,3,-0.1414038657171922,Counter-led,0.4406280667320902,0.8498748957464554,concordant,Counter-led,0.4355029585798816,0.8596134282807731,divergent
E02000011,Barking and Dagenham,5,-0.1169888097660223,Counter-led,0.3303670745272525,0.9563829787234044,concordant,Counter-led,0.4314516129032258,0.8996372430471584,concordant
E02000012,Barking and Dagenham,7,-0.096642929806714,Counter-led,0.4385499557913351,0.9440734557595992,concordant,Symmetric,0.4894795127353267,0.9280575539568344,concordant
E02000013,Barking and Dagenham,2,-0.1230925737538148,Lateral,0.4353348729792148,0.7780772686433064,concordant,Symmetric,0.515451174289246,0.7915851272015656,concordant
E02000014,Barking and Dagenham,2,-0.1393692777212614,Counter-led,0.4709931170108161,0.79453125,concordant,Counter-led,0.3892694063926941,0.8126159554730983,concordant
E02000015,Barking and Dagenham,1,-0.0488301119023397,Cascade-led,0.5257452574525745,0.8744075829383886,concordant,Symmetric,0.5147679324894515,0.830607476635514,concordant
E02000016,Barking and Dagenham,2,-0.0447609359104781,Counter-led,0.4562926224426534,0.8125944584382871,concordant,Symmetric,0.4809437386569873,0.8314889336016097,concordant
E02000017,Barking and Dagenham,5,-0.1546286876907426,Counter-led,0.4537554314090627,0.9526907155529272,concordant,Counter-led,0.4771615008156606,0.9540856031128404,concordant
E02000018,Barking and Dagenham,2,-0.1302136317395727,Counter-led,0.4417836498761354,0.7838187702265372,concordant,Counter-led,0.4292878635907723,0.8239669421487603,concordant
E02000019,Barking and Dagenham,3,-0.1230925737538148,Counter-led,0.4423828125,0.9014084507042254,divergent,Counter-led,0.4066736183524504,0.8464254192409533,divergent
E02000020,Barking and Dagenham,4,-0.2004069175991861,Symmetric,0.4814253222137983,0.9096551724137932,concordant,Counter-led,0.4550430023455825,0.9129193433261956,concordant
E02000021,Barking and Dagenham,4,-0.2014242115971516,Counter-led,0.4088522130532633,0.9012846517917512,concordant,Counter-led,0.4578189300411522,0.9126760563380282,concordant
E02000022,Barking and Dagenham,1,0.0233977619532044,Symmetric,0.509639564124057,0.8354341736694678,concordant,Counter-led,0.40177690029615,0.8434637801831807,concordant
E02000023,Barking and Dagenham,1,-0.0264496439471007,Counter-led,0.4736842105263157,0.8160597572362278,concordant,Symmetric,0.5068664169787765,0.8066465256797583,concordant
E02000024,Barnet,10,-0.0295015259409969,Counter-led,0.4273504273504273,0.9069767441860463,concordant,Counter-led,0.4408703878902554,0.9231441048034934,concordant
E02000025,Barnet,8,-0.0579857578840284,Lateral,0.4471365638766519,0.7740835464620631,concordant,Lateral,0.4296205630354957,0.776615969581749,divergent
E02000026,Barnet,10,-0.0701932858596134,Counter-led,0.4155528554070474,0.8965141612200436,concordant,Counter-led,0.3836805555555556,0.8767123287671232,concordant
E02000027,Barnet,6,-0.1485249237029501,Symmetric,0.4801512287334593,0.9338040600176524,concordant,Cascade-led,0.5284450063211125,0.9284037558685446,concordant
E02000028,Barnet,9,-0.0284842319430315,Counter-led,0.4550691244239631,0.8948453608247423,concordant,Cascade-led,0.5432900432900433,0.9067713444553483,concordant
E02000029,Barnet,8,-0.1241098677517802,Counter-led,0.4528301886792453,0.8236208236208237,concordant,Lateral,0.4461538461538462,0.7681818181818182,concordant
E02000030,Barnet,9,-0.0640895218718209,Counter-led,0.4667381974248927,0.8218694885361552,concordant,Counter-led,0.4743935309973046,0.8171806167400881,concordant
E02000031,Barnet,10,0.0101729399796541,Counter-led,0.4289911851126347,0.9099821746880572,concordant,Counter-led,0.4148706896551724,0.928,concordant
E02000032,Barnet,10,-0.0264496439471008,Symmetric,0.5050377833753149,0.8725274725274725,concordant,Symmetric,0.5068285280728376,0.8569570871261378,concordant
E02000033,Barnet,7,-0.0437436419125126,Counter-led,0.4773584905660377,0.8922558922558923,concordant,Symmetric,0.5024390243902439,0.8640674394099052,concordant
E02000034,Barnet,8,0.0152594099694811,Lateral,0.4522019334049409,0.6770909090909091,concordant,Lateral,0.4845474613686534,0.722488038277512,concordant
E02000035,Barnet,8,-0.0305188199389623,Lateral,0.4943917169974116,0.7284726587052168,concordant,Lateral,0.4475587703435805,0.7422818791946308,concordant
E02000036,Barnet,8,-0.056968463886063,Counter-led,0.4564102564102564,0.8008213552361396,concordant,Lateral,0.4377990430622009,0.7676767676767676,concordant
E02000037,Barnet,8,0.0874872838250254,Symmetric,0.4837728194726166,0.7875399361022364,concordant,Lateral,0.4845360824742268,0.7285407725321889,concordant
E02000038,Barnet,8,-0.064089521871821,Lateral,0.4673366834170854,0.7637061403508771,concordant,Counter-led,0.433456561922366,0.7840579710144927,concordant
E02000039,Barnet,9,-0.0335707019328586,Lateral,0.5263852242744064,0.782249742002064,concordant,Counter-led,0.4115853658536585,0.787515006002401,concordant
E02000040,Barnet,7,0.0172939979654119,Cascade-led,0.523102310231023,0.8924889543446245,concordant,Counter-led,0.4662756598240469,0.899736147757256,divergent
E02000041,Barnet,7,-0.098677517802645,Symmetric,0.5008130081300813,0.9037472446730346,divergent,Cascade-led,0.5254942767950052,0.8527062999112689,divergent
E02000042,Barnet,8,-0.0233977619532045,Lateral,0.4660514172709294,0.7065673032137867,concordant,Lateral,0.4100358422939068,0.7254290171606864,concordant
E02000043,Barnet,10,0.005086469989827,Symmetric,0.4939130434782608,0.9244372990353698,concordant,Symmetric,0.490566037735849,0.9434554973821988,concordant
E02000044,Barnet,6,-0.1464903357070193,Symmetric,0.4896373056994819,0.8846447669977082,concordant,Counter-led,0.4438073394495412,0.9386437029063508,concordant
E02000045,Barnet,6,-0.0345879959308239,Symmetric,0.501358695652174,0.9097651421508036,concordant,Counter-led,0.4361538461538461,0.9084556254367576,concordant
E02000046,Barnet,8,0.0101729399796541,Lateral,0.5045567522783762,0.7404907975460123,concordant,Symmetric,0.4873140857392826,0.7959610027855153,concordant
E02000047,Barnet,5,-0.1068158697863682,Counter-led,0.4562289562289562,0.8936810431293881,concordant,Counter-led,0.4539116963594113,0.8372243839169909,concordant
E02000048,Barnet,9,-0.0600203458799593,Symmetric,0.483265306122449,0.7923673997412678,concordant,Symmetric,0.5004651162790698,0.7998511904761905,concordant
E02000049,Barnet,2,-0.1251271617497457,Counter-led,0.4045174537987679,0.9720558882235528,concordant,Symmetric,0.4832793959007551,0.956656346749226,concordant
E02000050,Barnet,6,0.0050864699898269,Symmetric,0.5078787878787879,0.8909287257019438,concordant,Counter-led,0.4671201814058957,0.9356435643564356,concordant
E02000051,Barnet,9,0.0437436419125126,Symmetric,0.5181818181818182,0.7947019867549668,concordant,Cascade-led,0.5333333333333333,0.8295380611581002,concordant
E02000052,Barnet,8,0.0803662258392675,Counter-led,0.4625074985002999,0.8376884422110553,concordant,Cascade-led,0.5449927431059507,0.8537794299876085,concordant
E02000053,Barnet,6,-0.0773143438453712,Counter-led,0.4776815456362425,0.8865918487891317,divergent,Lateral,0.5,0.0,zero
E02000054,Barnet,8,-0.108850457782299,Counter-led,0.4770867430441898,0.8262339418526031,concordant,Cascade-led,0.5356849876948319,0.8441828254847645,concordant
E02000055,Barnet,7,0.0193285859613427,Symmetric,0.4841457643161382,0.9271610355419044,concordant,Symmetric,0.4819444444444444,0.9045226130653268,divergent
E02000056,Barnet,10,0.0010172939979654,Symmetric,0.4875912408759124,0.9695682944090588,concordant,Symmetric,0.488390712570056,0.9556235654169856,concordant
E02000057,Barnet,8,0.0010172939979654,Counter-led,0.4732758620689655,0.8256227758007118,concordant,Cascade-led,0.5363321799307958,0.8316546762589928,concordant
E02000058,Barnet,9,-0.0335707019328586,Lateral,0.5017717930545712,0.7371995820271683,concordant,Lateral,0.5034129692832765,0.6959619952494062,concordant
E02000059,Barnet,5,-0.0203458799593082,Counter-led,0.4693539480949751,0.8938795656465943,concordant,Counter-led,0.4406876790830945,0.8617283950617284,concordant
E02000060,Barnet,9,-0.1271617497456765,Lateral,0.5023664638269101,0.7549770290964778,concordant,Lateral,0.5403225806451613,0.7256176853055917,concordant
E02000061,Barnet,9,-0.1098677517802645,Lateral,0.4849296718017414,0.7528996469994957,concordant,Symmetric,0.4915254237288136,0.7934373318988703,concordant
E02000062,Barnet,4,-0.2441505595116989,Cascade-led,0.5354609929078015,0.871042471042471,concordant,Counter-led,0.3942583732057416,0.8461538461538461,concordant
E02000063,Barnet,7,-0.143438453713123,Symmetric,0.4980299448384555,0.9103299856527975,concordant,Symmetric,0.5170777988614801,0.8739635157545605,concordant
E02000064,Barnet,6,-0.0783316378433366,Symmetric,0.5190661478599222,0.9185132237312366,concordant,Symmetric,0.4812286689419795,0.9036237471087124,concordant
E02000065,Bexley,6,-0.010172939979654,Counter-led,0.4537337662337662,0.9506172839506172,concordant,Symmetric,0.4849578820697954,0.9486301369863014,concordant
E02000066,Bexley,4,-0.0528992878942014,Counter-led,0.4335778321108394,0.8335597826086957,concordant,Symmetric,0.4875816993464052,0.8481152993348116,concordant
E02000067,Bexley,5,-0.0762970498474059,Counter-led,0.4017027863777089,0.9743589743589745,divergent,Counter-led,0.4628237259816207,0.9622186495176848,divergent
E02000068,Bexley,4,-0.1139369277721261,Counter-led,0.4621026894865526,0.8051181102362205,concordant,Counter-led,0.4395348837209302,0.8472906403940886,concordant
E02000069,Bexley,7,-0.0437436419125126,Counter-led,0.4613180515759312,0.9900709219858156,concordant,Counter-led,0.4198645598194131,0.9800884955752212,concordant
E02000070,Bexley,8,-0.0376398779247202,Counter-led,0.3940677966101695,0.9042145593869731,concordant,Counter-led,0.4147540983606557,0.8815028901734104,concordant
E02000071,Bexley,8,-0.0946083418107832,Counter-led,0.4578313253012048,0.8634590377113134,concordant,Symmetric,0.4851485148514851,0.8846715328467153,concordant
E02000072,Bexley,3,-0.0956256358087487,Counter-led,0.4626278520849725,0.9414814814814816,concordant,Symmetric,0.5113043478260869,0.9098101265822784,concordant
E02000073,Bexley,10,-0.0132248219735503,Counter-led,0.4085173501577287,0.8180645161290323,concordant,Counter-led,0.4320785597381342,0.8190348525469169,concordant
E02000074,Bexley,4,-0.1302136317395727,Symmetric,0.4874651810584958,0.8692493946731235,concordant,Counter-led,0.4638447971781305,0.8696319018404908,concordant
E02000075,Bexley,10,-0.0111902339776195,Lateral,0.4418604651162791,0.7724550898203593,concordant,Counter-led,0.4673267326732673,0.8015873015873016,concordant
E02000077,Bexley,8,0.0061037639877925,Counter-led,0.4483925549915397,0.8323943661971831,divergent,Counter-led,0.3418439716312056,0.88125,concordant
E02000078,Bexley,9,-0.0183112919633774,Counter-led,0.4224719101123595,0.8725490196078431,concordant,Counter-led,0.4358490566037736,0.8548387096774194,concordant
E02000079,Bexley,9,-0.0427263479145473,Counter-led,0.4168591224018476,0.8616915422885573,concordant,Counter-led,0.3920398009950249,0.8648881239242685,concordant
E02000080,Bexley,9,-0.034587995930824,Counter-led,0.4518430439952438,0.8871308016877637,concordant,Counter-led,0.4612352168199737,0.8647727272727272,concordant
E02000081,Bexley,8,-0.108850457782299,Counter-led,0.4104729729729729,0.8680351906158358,divergent,Counter-led,0.4234620886981402,0.9019354838709678,divergent
E02000082,Bexley,10,-0.0040691759918616,Counter-led,0.4759535655058043,0.8061497326203209,concordant,Counter-led,0.3973509933774834,0.8569807037457434,concordant
E02000083,Bexley,6,-0.0935910478128179,Symmetric,0.50480109739369,0.943078913324709,divergent,Counter-led,0.4610630407911001,0.9396051103368176,divergent
E02000084,Bexley,10,-0.0335707019328584,Lateral,0.4654919236417034,0.75,concordant,Lateral,0.3975741239892183,0.7761506276150628,concordant
E02000085,Bexley,9,-0.0417090539165818,Counter-led,0.4486404833836858,0.8112745098039216,concordant,Counter-led,0.4621212121212121,0.7951807228915663,concordant
E02000086,Bexley,10,-0.0264496439471007,Lateral,0.4375,0.7272727272727273,concordant,Lateral,0.4781818181818182,0.7801418439716312,concordant
