msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt,Delta_Net_Cascade,Delta_CFI_Churn,Delta_CFI_Rate,Delta_Pct_Inflow_Wealthier,Delta_Net_Counter,Delta_Counter_Churn,Delta_Counter_Rate,Delta_Pct_Outflow_Wealthier,Cascade_Dominance_11,Cross_Decile_Share_11,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_11,Sign_Concordance_21,Delta_Cascade_Dominance,Delta_Cross_Decile_Share,Wealth_Decile_National,Inflow_Wealthier_nat_11,Outflow_Poorer_nat_11,Outflow_Wealthier_nat_11,Inflow_Poorer_nat_11,Total_Inflow_nat_11,Total_Outflow_nat_11,Ext_Inflow_nat_11,Ext_Outflow_nat_11,Total_Migration_nat_11,CFI_Churn_nat_11,CFI_Rate_nat_11,Net_Cascade_nat_11,Pct_Inflow_Wealthier_nat_11,Counter_Churn_nat_11,Counter_Rate_nat_11,Net_Counter_nat_11,Cascade_Dominance_nat_11,Ext_Net_nat_11,Inflow_Wealthier_nat_21,Outflow_Poorer_nat_21,Outflow_Wealthier_nat_21,Inflow_Poorer_nat_21,Total_Inflow_nat_21,Total_Outflow_nat_21,Ext_Inflow_nat_21,Ext_Outflow_nat_21,Total_Migration_nat_21,CFI_Churn_nat_21,CFI_Rate_nat_21,Net_Cascade_nat_21,Pct_Inflow_Wealthier_nat_21,Counter_Churn_nat_21,Counter_Rate_nat_21,Net_Counter_nat_21,Cascade_Dominance_nat_21,Ext_Net_nat_21
E02000012,Barking and Dagenham,7,6,20.31549040554207,20.63216642107202,606.0,511.0,0.6164801627670397,0.5198372329603256,-0.096642929806714,0.3166760155299499,29.0,467.0,608,590,1198,496.0,11.304674457429048,-438.0,4.769736842105264,22.0,420.0,440.0,533.0,973.0,442.0,9.49640287769784,-398.0,5.0,86.0,549.0,635.0,39.41068447412354,-463.0,14.576271186440678,88.0,373.0,461.0,33.734840698869476,-285.0,16.51031894934334,-329.0,56.0,385.0,40.0,-54.0,-1.8082715797312083,0.2302631578947362,178.0,-174.0,-5.675843775254066,1.9340477629026616,0.4385499557913351,0.9440734557595992,0.4894795127353267,0.9280575539568344,concordant,concordant,0.0509295569439915,-0.0160159018027647,5,98,465,337,546,676,835,68,245,1511,563,30.15883520847121,-367,14.497041420118343,883,121.77498345466579,-209,0.3893499308437068,-177,125,415,408,368,536,850,96,317,1386,540,37.42784992784993,-290,23.32089552238806,776,108.32900432900433,40,0.41033434650455924,-221
E02000013,Barking and Dagenham,2,1,37.172274852416095,36.09122608596511,181.0,60.0,0.1841302136317395,0.0610376398779247,-0.1230925737538148,-1.0810487664509836,305.0,72.0,567,546,1113,377.0,19.730458221024257,233.0,53.79188712522046,336.0,81.0,577.0,445.0,1022.0,417.0,26.63013698630137,255.0,58.23223570190641,364.0,125.0,489.0,40.880503144654085,239.0,66.66666666666666,294.0,98.0,392.0,28.19178082191781,196.0,66.06741573033707,381.0,381.0,0.0,22.0,40.0,6.8996787652771125,4.440348576685949,-43.0,-97.0,-12.688722322736275,-0.5992509363295824,0.4353348729792148,0.7780772686433064,0.515451174289246,0.7915851272015656,concordant,concordant,0.0801163013100312,0.0135078585582592,2,253,72,440,129,618,730,51,184,1348,325,13.513353115727003,181,40.93851132686084,569,42.10682492581602,311,0.3635346756152125,-133,313,81,535,101,637,778,60,333,1415,394,17.91731448763251,232,49.13657770800628,636,38.187279151943464,434,0.3825242718446602,-273
E02000014,Barking and Dagenham,2,1,36.7377620718996,36.55000135163235,191.0,54.0,0.1943031536113937,0.0549338758901322,-0.1393692777212614,-0.1877607202672422,377.0,102.0,655,625,1280,479.0,30.0421875,275.0,57.55725190839694,243.0,98.0,496.0,582.0,1078.0,341.0,22.09090909090909,145.0,48.99193548387097,355.0,183.0,538.0,50.75390625,172.0,56.8,410.0,125.0,535.0,47.5417439703154,285.0,70.44673539518901,296.0,296.0,0.0,-130.0,-138.0,-7.951278409090911,-8.565316424525975,113.0,-3.0,-3.2121622796845983,13.646735395189012,0.4709931170108161,0.79453125,0.3892694063926941,0.8126159554730983,concordant,concordant,-0.081723710618122,0.0180847054730982,2,328,106,470,192,753,868,98,243,1621,434,21.448488587291795,222,43.559096945551126,662,55.66933991363356,278,0.395985401459854,-145,251,100,588,137,590,898,94,316,1488,351,16.868279569892472,151,42.54237288135593,725,54.13709677419355,451,0.32620817843866173,-222
E02000015,Barking and Dagenham,1,1,44.54999939574243,39.60161035457348,74.0,26.0,0.0752797558494405,0.0264496439471007,-0.0488301119023397,-4.9483890411689515,582.0,0.0,676,590,1266,582.0,0.0,582.0,86.09467455621301,366.0,0.0,451.0,405.0,856.0,366.0,0.0,366.0,81.1529933481153,525.0,0.0,525.0,0.0,525.0,88.98305084745762,345.0,0.0,345.0,0.0,345.0,85.18518518518519,316.0,316.0,0.0,-216.0,-216.0,0.0,-4.941681208097705,-180.0,-180.0,0.0,-3.7978656622724287,0.5257452574525745,0.8744075829383886,0.5147679324894515,0.830607476635514,concordant,concordant,-0.0109773249631229,-0.0438001063028745,1,635,0,725,0,738,794,62,204,1532,635,0.0,635,86.04336043360433,725,0.0,725,0.46691176470588236,-142,435,0,613,0,523,674,72,269,1197,435,0.0,435,83.17399617590823,613,0.0,613,0.4150763358778626,-197
E02000016,Barking and Dagenham,2,2,39.3159271651902,33.661131007315696,148.0,104.0,0.150559511698881,0.1057985757884028,-0.0447609359104781,-5.654796157874507,537.0,199.0,1006,979,1985,736.0,53.835264483627206,338.0,53.37972166998012,580.0,215.0,1049.0,939.0,1988.0,795.0,62.72635814889336,365.0,55.29075309818875,639.0,238.0,877.0,76.61561712846347,401.0,65.27068437180796,582.0,276.0,858.0,80.80080482897384,306.0,61.980830670926515,290.0,575.0,285.0,27.0,59.0,8.891093665266155,1.9110314282086307,-95.0,-19.0,4.185187700510369,-3.2898537008814444,0.4562926224426534,0.8125944584382871,0.4809437386569873,0.8314889336016097,concordant,concordant,0.0246511162143338,0.0188944751633225,2,622,209,705,263,1179,1180,173,201,2359,831,55.1072488342518,413,52.756573367260394,968,78.59898261975414,442,0.46192329071706506,-28,675,228,857,284,1264,1309,215,370,2573,903,59.81344733773805,447,53.40189873417721,1141,94.59308200544112,573,0.4417808219178082,-155
E02000017,Barking and Dagenham,5,3,26.361153281948692,27.270586768505,443.0,291.0,0.4506612410986775,0.2960325534079349,-0.1546286876907426,0.9094334865563064,101.0,630.0,771,920,1691,731.0,37.62862211709048,-529.0,13.09987029831388,129.0,456.0,569.0,716.0,1285.0,585.0,45.77743190661479,-327.0,22.671353251318106,243.0,637.0,880.0,91.53814311058544,-394.0,26.413043478260867,223.0,418.0,641.0,72.54007782101168,-195.0,31.14525139664804,-49.0,233.0,282.0,202.0,-146.0,8.148809789524307,9.571482953004226,199.0,-239.0,-18.99806528957376,4.7322079183871715,0.4537554314090627,0.9526907155529272,0.4771615008156606,0.9540856031128404,concordant,concordant,0.0234060694065979,0.0013948875599132,4,168,649,401,648,854,1124,83,204,1978,817,55.122345803842265,-481,19.672131147540984,1049,131.3690596562184,-247,0.4378349410503751,-121,233,476,476,421,696,1033,127,317,1729,709,64.14574898785425,-243,33.47701149425287,897,115.90283400809717,55,0.4414694894146949,-190
E02000018,Barking and Dagenham,2,1,36.88907695613048,36.41188683602772,184.0,56.0,0.1871820956256358,0.056968463886063,-0.1302136317395727,-0.4771901201027617,423.0,112.0,810,735,1545,535.0,30.664077669902913,311.0,52.22222222222223,307.0,121.0,557.0,653.0,1210.0,428.0,30.7,186.0,55.11669658886894,478.0,198.0,676.0,61.258252427184466,280.0,65.03401360544217,436.0,133.0,569.0,47.92396694214876,303.0,66.7687595712098,380.0,380.0,0.0,-125.0,-107.0,0.0359223300970867,2.894474366646712,23.0,-107.0,-13.334285485035709,1.7347459657676296,0.4417836498761354,0.7838187702265372,0.4292878635907723,0.8239669421487603,concordant,concordant,-0.0124957862853631,0.040148171922223,2,372,121,543,206,879,949,69,214,1828,493,24.62363238512035,251,42.32081911262799,749,61.191466083150985,337,0.3969404186795491,-145,302,121,701,139,654,1012,97,359,1666,423,21.933973589435773,181,46.17737003058104,840,58.48679471788716,562,0.334916864608076,-262
E02000019,Barking and Dagenham,3,2,33.570357300628324,32.065294026890015,270.0,149.0,0.2746693794506612,0.1515768056968464,-0.1230925737538148,-1.5050632737383085,199.0,254.0,526,610,1136,453.0,44.49471830985915,-55.0,37.832699619771866,233.0,157.0,660.0,473.0,1133.0,390.0,32.28684907325684,76.0,35.303030303030305,306.0,265.0,571.0,71.38204225352112,41.0,50.1639344262295,256.0,313.0,569.0,70.72197705207414,-57.0,54.12262156448203,153.0,299.0,146.0,131.0,-63.0,-12.207869236602312,-2.529669316741561,-98.0,-2.0,-0.660065201446983,3.958687138252529,0.4423828125,0.9014084507042254,0.4066736183524504,0.8464254192409533,divergent,divergent,-0.0357091941475495,-0.0549830314632721,2,259,140,467,124,586,771,60,161,1357,399,26.720707442888724,119,44.19795221843004,591,42.673544583640385,343,0.403030303030303,-101,351,66,637,175,742,851,82,378,1593,417,14.542372881355933,285,47.304582210242586,812,69.97802887633397,462,0.33930024410089504,-296
E02000020,Barking and Dagenham,4,2,31.91231639068564,33.22273172595296,315.0,118.0,0.3204476093591047,0.1200406917599186,-0.2004069175991861,1.3104153352673222,212.0,423.0,762,688,1450,635.0,61.84551724137931,-211.0,27.821522309711288,222.0,360.0,709.0,692.0,1401.0,582.0,57.04496788008565,-138.0,31.31170662905501,203.0,481.0,684.0,67.34,-278.0,29.505813953488374,268.0,429.0,697.0,82.06423982869379,-161.0,38.72832369942196,206.0,363.0,157.0,73.0,-53.0,-4.800549361293662,3.4901843193437223,117.0,13.0,14.724239828693785,9.22250974593359,0.4814253222137983,0.9096551724137932,0.4550430023455825,0.9129193433261956,concordant,concordant,-0.0263823198682158,0.0032641709124024,3,275,405,407,466,827,904,65,216,1731,680,64.34142114384748,-130,33.252720677146314,873,109.56787983824378,-59,0.437862202189311,-151,360,353,712,421,862,1156,153,464,2018,713,62.973240832507436,7,41.76334106728538,1133,148.53914767096134,291,0.3862405200433369,-311
E02000021,Barking and Dagenham,4,2,30.252866915485832,31.823478887744592,356.0,158.0,0.3621566632756867,0.1607324516785351,-0.2014242115971516,1.57061197225876,144.0,401.0,809,670,1479,545.0,39.04259634888438,-257.0,17.79975278121137,159.0,286.0,529.0,536.0,1065.0,445.0,42.69859154929578,-127.0,30.056710775047257,203.0,585.0,788.0,80.29411764705883,-382.0,30.29850746268657,200.0,327.0,527.0,61.40845070422535,-127.0,37.3134328358209,65.0,252.0,187.0,130.0,-100.0,3.6559952004113967,12.256957993835886,255.0,-261.0,-18.88566694283347,7.014925373134329,0.4088522130532633,0.9012846517917512,0.4578189300411522,0.9126760563380282,concordant,concordant,0.0489667169878889,0.0113914045462769,3,239,400,359,575,910,849,101,179,1759,639,54.34906196702672,-161,26.263736263736266,934,117.35361000568504,-216,0.4062301335028608,-78,245,281,485,323,623,838,94,302,1461,526,47.12183436002738,-36,39.325842696629216,808,107.22450376454483,162,0.39430284857571213,-208
E02000022,Barking and Dagenham,1,1,51.32951170886077,38.646125014415865,16.0,39.0,0.0162767039674465,0.039674465920651,0.0233977619532044,-12.6833866944449,608.0,0.0,734,694,1428,608.0,0.0,608.0,82.83378746594006,407.0,0.0,489.0,712.0,1201.0,407.0,0.0,407.0,83.23108384458078,585.0,0.0,585.0,0.0,585.0,84.29394812680115,606.0,0.0,606.0,0.0,606.0,85.1123595505618,367.0,367.0,0.0,-201.0,-201.0,0.0,0.3972963786407177,21.0,21.0,0.0,0.8184114237606508,0.509639564124057,0.8354341736694678,0.40177690029615,0.8434637801831807,concordant,concordant,-0.1078626638279069,0.0080296065137128,1,689,0,732,0,825,844,91,150,1669,689,0.0,689,83.51515151515152,732,0.0,732,0.4848698099929627,-59,502,0,926,0,588,1040,99,328,1628,502,0.0,502,85.37414965986395,926,0.0,926,0.35154061624649857,-229
E02000023,Barking and Dagenham,1,1,45.4978988336933,39.06830407275603,59.0,33.0,0.0600203458799593,0.0335707019328586,-0.0264496439471007,-6.42959476093727,414.0,0.0,543,528,1071,414.0,0.0,414.0,76.24309392265194,406.0,0.0,540.0,453.0,993.0,406.0,0.0,406.0,75.18518518518519,460.0,0.0,460.0,0.0,460.0,87.12121212121212,395.0,0.0,395.0,0.0,395.0,87.19646799116998,333.0,333.0,0.0,-8.0,-8.0,0.0,-1.0579087374667466,-65.0,-65.0,0.0,0.0752558699578571,0.4736842105263157,0.8160597572362278,0.5068664169787765,0.8066465256797583,concordant,concordant,0.0331822064524607,-0.0094132315564695,1,461,0,608,0,591,676,48,148,1267,461,0.0,461,78.00338409475465,608,0.0,608,0.431244153414406,-100,482,0,667,0,620,727,80,274,1347,482,0.0,482,77.74193548387098,667,0.0,667,0.4194952132288947,-194
E02000024,Barnet,10,10,9.036841806222924,9.191532295006873,917.0,888.0,0.9328585961342828,0.9033570701932858,-0.0295015259409969,0.1546904887839471,0.0,450.0,658,503,1161,450.0,0.0,-450.0,0.0,0.0,466.0,637.0,508.0,1145.0,466.0,0.0,-466.0,0.0,0.0,603.0,603.0,0.0,-603.0,0.0,0.0,591.0,591.0,0.0,-591.0,0.0,-472.0,0.0,472.0,-16.0,16.0,0.0,0.0,12.0,-12.0,0.0,0.0,0.4273504273504273,0.9069767441860463,0.4408703878902554,0.9231441048034934,concordant,concordant,0.0135199605398281,0.0161673606174469,9,3,808,7,864,911,845,253,342,1756,811,1.3804100227790432,-805,0.3293084522502744,871,3.4441913439635536,-857,0.4821640903686088,-89,1,980,10,759,794,1013,157,505,1807,981,0.5423353624792474,-979,0.12594458438287154,769,4.200332042058661,-749,0.5605714285714286,-348
E02000025,Barnet,8,7,16.300101609100047,15.932634441805227,723.0,666.0,0.7355035605289929,0.6775178026449644,-0.0579857578840284,-0.3674671672948193,199.0,207.0,655,518,1173,406.0,35.11764705882353,-8.0,30.38167938931298,178.0,173.0,616.0,436.0,1052.0,351.0,29.271863117870723,5.0,28.8961038961039,194.0,308.0,502.0,50.93947144075021,-114.0,37.45173745173745,157.0,309.0,466.0,46.11501901140685,-152.0,36.00917431192661,110.0,251.0,141.0,13.0,-55.0,-5.845783940952806,-1.4855754932090797,-38.0,-36.0,-4.82445242934336,-1.4425631398108436,0.4471365638766519,0.7740835464620631,0.4296205630354957,0.776615969581749,concordant,divergent,-0.0175160008411562,0.0025324231196859,6,264,204,260,305,819,809,164,291,1628,468,33.08108108108108,60,32.234432234432234,565,48.71007371007371,-45,0.4530493707647628,-127,235,168,197,303,760,819,144,383,1579,403,25.00316656111463,67,30.92105263157895,500,37.80303989867004,-106,0.44629014396456257,-239
