msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt
E02000868,Tower Hamlets,2,3,36.9770404932288,28.85113913043478,5650.270135424092,8719.483107626515,0.17395080769115484,0.2654817655470258,0.09153095785587095,-8.125901362794018,425.0,355.0,903,969,1872,780.0,80.59561965811966,70.0,47.06533776301218,379.0,319.0,948.0,1066.0,2014.0,698.0,60.03028798411122,60.0,39.9789029535865,-49.0,347.0,396.0
E02000869,Tower Hamlets,1,2,46.71749576480129,33.03527818329278,3300.8721816707216,7096.577453365774,0.10162158061913434,0.2160692197468571,0.11444763912772277,-13.68221758150851,412.0,0.0,680,650,1330,412.0,0.0,412.0,60.588235294117645,463.0,0.0,700.0,696.0,1396.0,463.0,0.0,463.0,66.14285714285715,304.0,395.0,91.0
E02000870,Tower Hamlets,3,3,35.45965896681183,29.586804174801017,6115.927316413876,8336.991139810782,0.18828666080949066,0.2538360473697108,0.06554938656022016,-5.872854792010813,195.0,455.0,726,845,1571,650.0,56.476766390833866,-260.0,26.859504132231404,218.0,420.0,779.0,807.0,1586.0,638.0,57.73013871374527,-202.0,27.984595635430036,-34.0,326.0,360.0
E02000871,Tower Hamlets,1,2,47.914055299105485,33.78368505404398,2843.6158218412224,6554.367592247484,0.08754435754698672,0.19956057703834748,0.11201621949136076,-14.130370245061506,551.0,0.0,1027,798,1825,551.0,0.0,551.0,53.65141187925998,739.0,0.0,1253.0,1409.0,2662.0,739.0,0.0,739.0,58.97845171588189,432.0,636.0,204.0
E02000872,Tower Hamlets,1,2,45.22039801192843,30.51431002221962,3207.04315284762,8203.560987019062,0.09873293371244442,0.24977350465896547,0.15104057094652107,-14.70608798970881,667.0,0.0,1072,1153,2225,667.0,0.0,667.0,62.220149253731336,778.0,0.0,1164.0,1146.0,2310.0,778.0,0.0,778.0,66.83848797250859,519.0,657.0,138.0
E02000873,Tower Hamlets,3,4,32.928419871861465,26.84948082378901,7450.204155844156,9948.3618787433,0.2293640833644528,0.3028973900482067,0.07353330668375391,-6.078939048072456,262.0,1030.0,865,1778,2643,1292.0,102.103670071888,-768.0,30.289017341040463,439.0,906.0,1254.0,1675.0,2929.0,1345.0,135.7917377944691,-467.0,35.00797448165869,-531.0,354.0,885.0
E02000874,Tower Hamlets,2,2,39.24376534810788,33.369545216792844,4978.648965084675,6915.994081211287,0.15327408919046473,0.21057100478660598,0.05729691559614125,-5.874220131315035,309.0,358.0,669,889,1558,667.0,71.002567394095,-49.0,46.18834080717489,405.0,440.0,938.0,1227.0,2165.0,845.0,82.3094688221709,-35.0,43.17697228144989,361.0,491.0,130.0
E02000875,Tower Hamlets,1,2,48.33330322622421,31.355196276811007,2682.064912990692,7551.535087009308,0.08257080576906262,0.22992129725396745,0.14735049148490484,-16.978106949413203,626.0,0.0,1060,1033,2093,626.0,0.0,626.0,59.056603773584904,830.0,0.0,1409.0,1398.0,2807.0,830.0,0.0,830.0,58.9070262597587,536.0,728.0,192.0
E02000876,Tower Hamlets,1,2,44.3876087890625,33.78064609375,4249.322005208333,6842.250390625,0.13082082400124173,0.20832573348632932,0.07750490948508759,-10.606962695312497,552.0,0.0,820,1066,1886,552.0,0.0,552.0,67.31707317073172,693.0,0.0,1147.0,1191.0,2338.0,693.0,0.0,693.0,60.418482999128166,451.0,594.0,143.0
E02000877,Tower Hamlets,1,2,45.862979268231136,31.268565648919175,3331.6783581461855,7779.422575489949,0.10256998824414093,0.23685977881774292,0.134289790573602,-14.594413619311961,726.0,0.0,1120,1183,2303,726.0,0.0,726.0,64.82142857142857,1041.0,0.0,1737.0,1672.0,3409.0,1041.0,0.0,1041.0,59.930915371329874,618.0,863.0,245.0
