msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt
E02000001,City of London,9,8,10.7001903992737,14.720484223119485,877.0,713.0,0.8921668362156663,0.7253306205493387,-0.16683621566632756,4.020293823845785,30.0,783.0,692,857,1549,813.0,15.164622336991608,-753.0,4.335260115606936,28.0,789.0,1120.0,867.0,1987.0,817.0,11.118268746854554,-761.0,2.5,24.0,615.0,639.0,9.528728211749517,-591.0,2.8004667444574096,8.0,1010.0,1018.0,4.066431806743835,-1002.0,0.922722029988466,-525.0,141.0,666.0
E02000002,Barking and Dagenham,1,1,43.42144398081181,34.76755983195555,83.0,83.0,0.0844354018311292,0.0844354018311292,0.0,-8.653884148856257,497.0,0.0,581,395,976,497.0,0.0,497.0,85.54216867469879,340.0,0.0,402.0,347.0,749.0,340.0,0.0,340.0,84.5771144278607,344.0,0.0,344.0,0.0,344.0,87.0886075949367,300.0,0.0,300.0,0.0,300.0,86.45533141210375,308.0,308.0,0.0
E02000003,Barking and Dagenham,5,4,25.643614588352413,25.149725932835818,459.0,354.0,0.4669379450661241,0.36012207527975587,-0.10681586978636826,-0.4938886555165958,229.0,380.0,738,669,1407,609.0,61.84790334044065,-151.0,31.029810298102984,210.0,332.0,695.0,674.0,1369.0,542.0,50.927684441197954,-122.0,30.215827338129497,244.0,470.0,714.0,81.50675195451315,-226.0,36.47234678624813,308.0,453.0,761.0,101.91672753834916,-145.0,45.6973293768546,-59.0,243.0,302.0
E02000004,Barking and Dagenham,6,5,22.60185641216435,23.560044369645045,547.0,400.0,0.5564598168870803,0.4069175991861648,-0.14954221770091553,0.9581879574806962,120.0,133.0,447,256,703,253.0,22.7027027027027,-13.0,26.845637583892618,105.0,127.0,437.0,303.0,740.0,232.0,18.02027027027027,-22.0,24.02745995423341,111.0,295.0,406.0,46.578947368421055,-184.0,43.359375,164.0,299.0,463.0,66.26486486486486,-135.0,54.12541254125413,12.0,136.0,124.0
E02000005,Barking and Dagenham,4,3,32.39406328077552,30.212965379205887,300.0,198.0,0.3051881993896236,0.20142421159715157,-0.10376398779247203,-2.1810979015696326,212.0,274.0,661,523,1184,486.0,49.060810810810814,-62.0,32.07261724659607,248.0,198.0,668.0,514.0,1182.0,446.0,41.54314720812183,50.0,37.12574850299401,178.0,395.0,573.0,59.383445945945944,-217.0,34.03441682600382,268.0,338.0,606.0,76.63620981387479,-70.0,52.14007782101168,117.0,317.0,200.0
E02000007,Barking and Dagenham,2,1,40.31009679672392,36.007463265728475,129.0,63.0,0.13123092573753814,0.06408952187182096,-0.06714140386571718,-4.302633530995443,514.0,115.0,890,551,1441,629.0,41.02012491325468,399.0,57.752808988764045,362.0,73.0,607.0,610.0,1217.0,435.0,21.71405094494659,289.0,59.637561779242176,352.0,162.0,514.0,39.57251908396947,190.0,63.883847549909255,425.0,137.0,562.0,47.8430566967954,288.0,69.67213114754098,384.0,384.0,0.0
E02000008,Barking and Dagenham,3,1,35.556605736018675,34.4495850024426,210.0,92.0,0.2136317395727365,0.0935910478128179,-0.1200406917599186,-1.1070207335760713,343.0,309.0,867,764,1631,652.0,64.98283261802575,34.0,39.561707035755475,272.0,167.0,728.0,581.0,1309.0,439.0,34.701298701298704,105.0,37.362637362637365,343.0,390.0,733.0,82.01716738197425,-47.0,44.89528795811518,339.0,349.0,688.0,90.38273491214667,-10.0,58.34767641996558,498.0,498.0,0.0
E02000009,Barking and Dagenham,4,1,30.95492824538416,36.33654626808835,341.0,57.0,0.34689725330620547,0.05798575788402848,-0.288911495422177,5.381618022704188,284.0,385.0,795,669,1464,669.0,74.68579234972678,-101.0,35.72327044025157,204.0,295.0,691.0,627.0,1318.0,499.0,45.66009104704097,-91.0,29.52243125904486,221.0,422.0,643.0,63.70355191256831,-201.0,33.03437967115097,248.0,412.0,660.0,77.52352048558421,-164.0,39.55342902711323,495.0,495.0,0.0
E02000010,Barking and Dagenham,3,1,35.01250658502612,34.49335914640853,228.0,89.0,0.23194303153611392,0.09053916581892167,-0.14140386571719227,-0.5191474386175869,213.0,236.0,632,567,1199,449.0,41.924937447873226,-23.0,33.70253164556962,203.0,165.0,501.0,482.0,983.0,368.0,34.074262461851475,38.0,40.5189620758483,258.0,312.0,570.0,67.13594662218516,-54.0,45.5026455026455,232.0,245.0,477.0,57.82299084435402,-13.0,48.13278008298755,320.0,320.0,0.0
E02000011,Barking and Dagenham,5,4,25.696449993534834,25.713968791598877,455.0,340.0,0.46286876907426244,0.34587995930824006,-0.11698880976602238,0.01751879806404233,63.0,234.0,514,426,940,297.0,15.682978723404256,-171.0,12.2568093385214,79.0,242.0,404.0,423.0,827.0,321.0,23.117291414752117,-163.0,19.554455445544555,166.0,436.0,602.0,76.99574468085106,-270.0,38.967136150234744,118.0,305.0,423.0,43.518742442563486,-187.0,27.89598108747045,-117.0,103.0,220.0
E02000012,Barking and Dagenham,7,6,20.31549040554207,20.63216642107202,606.0,511.0,0.6164801627670397,0.5198372329603256,-0.09664292980671407,0.31667601552994995,29.0,467.0,608,590,1198,496.0,11.304674457429048,-438.0,4.769736842105264,22.0,420.0,440.0,533.0,973.0,442.0,9.496402877697841,-398.0,5.0,86.0,549.0,635.0,39.41068447412354,-463.0,14.576271186440678,88.0,373.0,461.0,33.734840698869476,-285.0,16.51031894934334,-329.0,56.0,385.0
E02000013,Barking and Dagenham,2,1,37.172274852416095,36.09122608596511,181.0,60.0,0.18413021363173956,0.061037639877924724,-0.12309257375381484,-1.0810487664509836,305.0,72.0,567,546,1113,377.0,19.730458221024257,233.0,53.79188712522046,336.0,81.0,577.0,445.0,1022.0,417.0,26.63013698630137,255.0,58.23223570190641,364.0,125.0,489.0,40.880503144654085,239.0,66.66666666666666,294.0,98.0,392.0,28.19178082191781,196.0,66.06741573033707,381.0,381.0,0.0
E02000014,Barking and Dagenham,2,1,36.737762071899596,36.55000135163235,191.0,54.0,0.1943031536113937,0.054933875890132246,-0.13936927772126145,-0.18776072026724222,377.0,102.0,655,625,1280,479.0,30.0421875,275.0,57.55725190839694,243.0,98.0,496.0,582.0,1078.0,341.0,22.09090909090909,145.0,48.99193548387097,355.0,183.0,538.0,50.75390625,172.0,56.8,410.0,125.0,535.0,47.5417439703154,285.0,70.44673539518901,296.0,296.0,0.0
E02000015,Barking and Dagenham,1,1,44.54999939574243,39.60161035457348,74.0,26.0,0.0752797558494405,0.026449643947100712,-0.04883011190233978,-4.9483890411689515,582.0,0.0,676,590,1266,582.0,0.0,582.0,86.09467455621301,366.0,0.0,451.0,405.0,856.0,366.0,0.0,366.0,81.1529933481153,525.0,0.0,525.0,0.0,525.0,88.98305084745762,345.0,0.0,345.0,0.0,345.0,85.18518518518519,316.0,316.0,0.0
E02000016,Barking and Dagenham,2,2,39.3159271651902,33.661131007315696,148.0,104.0,0.150559511698881,0.10579857578840285,-0.04476093591047814,-5.654796157874507,537.0,199.0,1006,979,1985,736.0,53.835264483627206,338.0,53.37972166998012,580.0,215.0,1049.0,939.0,1988.0,795.0,62.72635814889336,365.0,55.29075309818875,639.0,238.0,877.0,76.61561712846347,401.0,65.27068437180796,582.0,276.0,858.0,80.80080482897384,306.0,61.980830670926515,290.0,575.0,285.0
E02000017,Barking and Dagenham,5,3,26.361153281948692,27.270586768504998,443.0,291.0,0.4506612410986775,0.2960325534079349,-0.15462868769074262,0.9094334865563063,101.0,630.0,771,920,1691,731.0,37.62862211709048,-529.0,13.09987029831388,129.0,456.0,569.0,716.0,1285.0,585.0,45.77743190661479,-327.0,22.671353251318102,243.0,637.0,880.0,91.53814311058545,-394.0,26.413043478260867,223.0,418.0,641.0,72.54007782101168,-195.0,31.145251396648042,-49.0,233.0,282.0
E02000018,Barking and Dagenham,2,1,36.88907695613048,36.41188683602772,184.0,56.0,0.1871820956256358,0.056968463886063074,-0.13021363173957273,-0.47719012010276174,423.0,112.0,810,735,1545,535.0,30.664077669902913,311.0,52.22222222222223,307.0,121.0,557.0,653.0,1210.0,428.0,30.7,186.0,55.11669658886894,478.0,198.0,676.0,61.258252427184466,280.0,65.03401360544217,436.0,133.0,569.0,47.92396694214876,303.0,66.7687595712098,380.0,380.0,0.0
E02000019,Barking and Dagenham,3,2,33.570357300628324,32.065294026890015,270.0,149.0,0.2746693794506612,0.1515768056968464,-0.12309257375381483,-1.5050632737383083,199.0,254.0,526,610,1136,453.0,44.49471830985915,-55.0,37.832699619771866,233.0,157.0,660.0,473.0,1133.0,390.0,32.28684907325684,76.0,35.303030303030305,306.0,265.0,571.0,71.38204225352112,41.0,50.1639344262295,256.0,313.0,569.0,70.72197705207414,-57.0,54.12262156448203,153.0,299.0,146.0
E02000020,Barking and Dagenham,4,2,31.91231639068564,33.22273172595296,315.0,118.0,0.32044760935910477,0.12004069175991862,-0.20040691759918616,1.3104153352673222,212.0,423.0,762,688,1450,635.0,61.84551724137931,-211.0,27.821522309711288,222.0,360.0,709.0,692.0,1401.0,582.0,57.04496788008565,-138.0,31.31170662905501,203.0,481.0,684.0,67.34,-278.0,29.505813953488374,268.0,429.0,697.0,82.06423982869379,-161.0,38.72832369942196,206.0,363.0,157.0
E02000021,Barking and Dagenham,4,2,30.252866915485832,31.823478887744592,356.0,158.0,0.3621566632756867,0.1607324516785351,-0.2014242115971516,1.5706119722587601,144.0,401.0,809,670,1479,545.0,39.04259634888438,-257.0,17.79975278121137,159.0,286.0,529.0,536.0,1065.0,445.0,42.69859154929578,-127.0,30.056710775047257,203.0,585.0,788.0,80.29411764705883,-382.0,30.29850746268657,200.0,327.0,527.0,61.40845070422535,-127.0,37.3134328358209,65.0,252.0,187.0
E02000022,Barking and Dagenham,1,1,51.329511708860764,38.646125014415865,16.0,39.0,0.01627670396744659,0.03967446592065107,0.023397761953204477,-12.683386694444899,608.0,0.0,734,694,1428,608.0,0.0,608.0,82.83378746594006,407.0,0.0,489.0,712.0,1201.0,407.0,0.0,407.0,83.23108384458078,585.0,0.0,585.0,0.0,585.0,84.29394812680115,606.0,0.0,606.0,0.0,606.0,85.1123595505618,367.0,367.0,0.0
E02000023,Barking and Dagenham,1,1,45.4978988336933,39.06830407275603,59.0,33.0,0.06002034587995931,0.0335707019328586,-0.026449643947100712,-6.42959476093727,414.0,0.0,543,528,1071,414.0,0.0,414.0,76.24309392265194,406.0,0.0,540.0,453.0,993.0,406.0,0.0,406.0,75.18518518518519,460.0,0.0,460.0,0.0,460.0,87.12121212121212,395.0,0.0,395.0,0.0,395.0,87.19646799116998,333.0,333.0,0.0
E02000024,Barnet,10,10,9.036841806222924,9.191532295006871,917.0,888.0,0.9328585961342828,0.9033570701932858,-0.029501525940996975,0.1546904887839471,0.0,450.0,658,503,1161,450.0,0.0,-450.0,0.0,0.0,466.0,637.0,508.0,1145.0,466.0,0.0,-466.0,0.0,0.0,603.0,603.0,0.0,-603.0,0.0,0.0,591.0,591.0,0.0,-591.0,0.0,-472.0,0.0,472.0
