msoa11cd,ladnm,Wealth_Decile,IMD_Pctile_Change,Typology_11,Cascade_Dominance_11,Cross_Decile_Share_11,Sign_Concordance_11,Typology_21,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_21
E02000040,Barnet,7,0.0173116089613034,Cascade-led,0.523102310231023,0.8924889543446245,concordant,Counter-led,0.4516423357664234,0.9028006589785832,divergent
E02000041,Barnet,7,-0.0987780040733197,Symmetric,0.5008130081300813,0.9037472446730346,divergent,Cascade-led,0.5303643724696356,0.8561525129982669,divergent
E02000042,Barnet,8,-0.0234215885947046,Lateral,0.4660514172709294,0.7065673032137867,concordant,Lateral,0.4182194616977225,0.7329286798179059,concordant
E02000043,Barnet,10,0.005091649694501,Symmetric,0.4939130434782608,0.9244372990353698,concordant,Symmetric,0.4886240520043337,0.9447287615148412,concordant
E02000044,Barnet,6,-0.1456211812627291,Symmetric,0.4896373056994819,0.8846447669977082,concordant,Counter-led,0.447576099210823,0.892354124748491,concordant
E02000045,Barnet,6,-0.0346232179226069,Symmetric,0.501358695652174,0.9097651421508036,concordant,Counter-led,0.4347826086956521,0.9028925619834712,concordant
E02000046,Barnet,8,0.010183299389002,Lateral,0.5045567522783762,0.7404907975460123,concordant,Symmetric,0.4887966804979253,0.8044058744993324,concordant
E02000047,Barnet,5,-0.1069246435845213,Counter-led,0.4556179775280899,0.892678034102307,concordant,Counter-led,0.4527363184079602,0.8481012658227848,concordant
E02000048,Barnet,9,-0.060081466395112,Symmetric,0.483265306122449,0.7923673997412678,concordant,Symmetric,0.503957783641161,0.8086770981507824,concordant
E02000049,Barnet,2,-0.125254582484725,Counter-led,0.4045174537987679,0.9720558882235528,concordant,Symmetric,0.4938852304797742,0.9619909502262444,concordant
E02000050,Barnet,6,0.0050916496945009,Symmetric,0.5078787878787879,0.8909287257019438,concordant,Counter-led,0.4703703703703704,0.9121621621621622,concordant
E02000051,Barnet,9,0.0437881873727087,Symmetric,0.5181818181818182,0.7947019867549668,concordant,Cascade-led,0.5364188163884673,0.8341772151898734,concordant
E02000052,Barnet,8,0.080448065173116,Counter-led,0.4625074985002999,0.8376884422110553,concordant,Cascade-led,0.5373961218836565,0.8595238095238096,concordant
E02000053,Barnet,6,-0.0773930753564154,Counter-led,0.4776815456362425,0.8865918487891317,divergent,Symmetric,0.4934127979924718,0.8611561318206374,divergent
E02000054,Barnet,8,-0.1089613034623218,Counter-led,0.4770867430441898,0.8262339418526031,concordant,Cascade-led,0.5314155942467828,0.8544631306597671,concordant
E02000055,Barnet,7,0.0193482688391037,Symmetric,0.4841457643161382,0.9271610355419044,concordant,Symmetric,0.4877014418999151,0.9100733307603242,divergent
E02000056,Barnet,10,0.0010183299389002,Symmetric,0.4875912408759124,0.9695682944090588,concordant,Symmetric,0.4933954933954934,0.9568773234200744,concordant
E02000057,Barnet,8,0.0010183299389001,Counter-led,0.4732758620689655,0.8256227758007118,concordant,Cascade-led,0.5378356387306753,0.8400546821599453,concordant
E02000058,Barnet,9,-0.0336048879837067,Lateral,0.5017717930545712,0.7371995820271683,concordant,Lateral,0.5045492142266336,0.7024985473561882,concordant
E02000059,Barnet,5,-0.0213849287169042,Counter-led,0.4693539480949751,0.8938795656465943,concordant,Counter-led,0.4350453172205438,0.8760476400529333,concordant
E02000060,Barnet,9,-0.1272912423625254,Lateral,0.5023664638269101,0.7549770290964778,concordant,Lateral,0.5531197301854974,0.7375621890547264,concordant
E02000061,Barnet,9,-0.109979633401222,Lateral,0.4849296718017414,0.7528996469994957,concordant,Symmetric,0.4968030690537084,0.8028747433264887,concordant
E02000062,Barnet,4,-0.2443991853360488,Cascade-led,0.5354609929078015,0.871042471042471,concordant,Counter-led,0.3911028730305839,0.8496062992125984,concordant
E02000063,Barnet,7,-0.1435845213849287,Symmetric,0.4980299448384555,0.9103299856527975,concordant,Cascade-led,0.521190261496844,0.8794607454401269,concordant
E02000064,Barnet,6,-0.0784114052953157,Symmetric,0.5190661478599222,0.9185132237312366,concordant,Symmetric,0.4805624483043837,0.8955555555555555,concordant
E02000065,Bexley,6,-0.0101832993890019,Counter-led,0.4537337662337662,0.9506172839506172,concordant,Symmetric,0.4919540229885057,0.9497816593886464,concordant
E02000066,Bexley,4,-0.0539714867617108,Counter-led,0.4335778321108394,0.8335597826086957,concordant,Symmetric,0.4930817610062893,0.8520900321543409,concordant
E02000067,Bexley,5,-0.0773930753564154,Counter-led,0.4017027863777089,0.9743589743589745,divergent,Counter-led,0.4619741100323624,0.9603729603729604,divergent
E02000068,Bexley,4,-0.115071283095723,Counter-led,0.4621026894865526,0.8051181102362205,concordant,Counter-led,0.4335585585585585,0.8505747126436781,concordant
