msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt
E02000909,Waltham Forest,4,6,31.657979431712967,20.60535833148436,320.0,512.0,0.3258655804480652,0.5213849287169042,0.19551934826883904,-11.052621100228606,134.0,518.0,856,787,1643,652.0,42.24710894704808,-384.0,15.654205607476634,188.0,510.0,836,755,1591,698.0,60.26398491514771,-322.0,22.48803827751196,205.0,640.0,845.0,79.85392574558735,-435.0,26.04828462515883,191.0,556.0,747.0,66.74795725958516,-365.0,25.29801324503311,-468.0,116.0,584.0
E02000910,Waltham Forest,3,4,35.02535667975322,24.58240698543145,226.0,369.0,0.23014256619144602,0.3757637474541752,0.14562118126272916,-10.442949694321772,304.0,610.0,1163,1355,2518,914.0,73.64575059571088,-306.0,26.139294926913152,355.0,458.0,1206,1234,2440,813.0,66.63524590163935,-103.0,29.436152570480928,404.0,514.0,918.0,82.46862589356633,-110.0,29.81549815498155,469.0,590.0,1059.0,113.40573770491804,-121.0,38.006482982171796,-53.0,402.0,455.0
E02000911,Waltham Forest,1,3,43.51954715691685,29.245122545168893,82.0,223.0,0.0835030549898167,0.22708757637474541,0.14358452138492872,-14.274424611747957,890.0,0.0,1057,1219,2276,890.0,0.0,890.0,84.20056764427626,916.0,0.0,1137,1253,2390,916.0,0.0,916.0,80.56288478452068,1033.0,0.0,1033.0,0.0,1033.0,84.74159146841673,1021.0,0.0,1021.0,0.0,1021.0,81.48443735035914,377.0,641.0,264.0
E02000912,Waltham Forest,2,3,37.68100560402684,28.8334393620556,173.0,238.0,0.17617107942973523,0.24236252545824846,0.06619144602851323,-8.847566241971244,386.0,237.0,760,949,1709,623.0,53.52954944411937,149.0,50.78947368421053,367.0,186.0,698,720,1418,553.0,48.139633286318755,181.0,52.57879656160458,567.0,235.0,802.0,77.96664716208309,332.0,59.74710221285564,417.0,204.0,621.0,59.99153737658674,213.0,57.91666666666667,199.0,380.0,181.0
E02000913,Waltham Forest,3,4,33.432526131403634,24.06185982017116,275.0,383.0,0.280040733197556,0.390020366598778,0.10997963340122197,-9.370666311232473,170.0,354.0,710,1005,1715,524.0,35.09037900874635,-184.0,23.943661971830984,158.0,251.0,634,733,1367,409.0,29.01097293343087,-93.0,24.9211356466877,388.0,363.0,751.0,82.12478134110788,25.0,38.60696517412936,301.0,284.0,585.0,62.5340160936357,17.0,41.06412005457026,-30.0,259.0,289.0
E02000914,Waltham Forest,1,1,46.434993067184756,35.18019383378016,49.0,77.0,0.04989816700610998,0.07841140529531568,0.028513238289205697,-11.254799233404597,801.0,0.0,983,1083,2066,801.0,0.0,801.0,81.4852492370295,811.0,0.0,992,1056,2048,811.0,0.0,811.0,81.75403225806451,917.0,0.0,917.0,0.0,917.0,84.67220683287165,874.0,0.0,874.0,0.0,874.0,82.76515151515152,865.0,865.0,0.0
E02000915,Waltham Forest,3,5,34.81008706351961,21.75980552486188,233.0,462.0,0.23727087576374745,0.47046843177189407,0.23319755600814662,-13.050281538657732,295.0,305.0,987,899,1886,600.0,47.7067868504772,-10.0,29.88855116514691,275.0,375.0,782,937,1719,650.0,59.9912739965096,-100.0,35.16624040920716,297.0,407.0,704.0,64.09278897136798,-110.0,33.03670745272525,345.0,340.0,685.0,68.23734729493891,5.0,36.819637139807895,-319.0,222.0,541.0
E02000916,Waltham Forest,2,4,36.848904779124936,27.134618754563473,186.0,296.0,0.1894093686354379,0.3014256619144603,0.1120162932790224,-9.714286024561464,449.0,224.0,950,1011,1961,673.0,51.288118306986235,225.0,47.26315789473684,563.0,249.0,1102,984,2086,812.0,67.20373921380633,314.0,51.08892921960072,609.0,309.0,918.0,95.96175420703723,300.0,60.23738872403561,549.0,293.0,842.0,77.11265580057527,256.0,55.79268292682927,-200.0,295.0,495.0
E02000917,Waltham Forest,3,6,32.852819833169775,19.808602471368296,289.0,539.0,0.29429735234215887,0.5488798370672098,0.2545824847250509,-13.04421736180148,245.0,426.0,1074,1093,2167,671.0,48.16335948315644,-181.0,22.811918063314714,216.0,490.0,1015,1076,2091,706.0,50.61692969870875,-274.0,21.2807881773399,337.0,524.0,861.0,81.48961698200277,-187.0,30.83257090576395,327.0,547.0,874.0,85.54232424677188,-220.0,30.39033457249071,-760.0,92.0,852.0
E02000918,Waltham Forest,2,4,37.67962799693185,26.857884743991644,174.0,303.0,0.17718940936863545,0.3085539714867617,0.13136456211812628,-10.821743252940205,540.0,185.0,921,1117,2038,725.0,49.01864573110893,355.0,58.63192182410424,518.0,173.0,896,873,1769,691.0,50.65799886941775,345.0,57.8125,782.0,172.0,954.0,65.99803729146221,610.0,70.00895255147717,545.0,185.0,730.0,56.995477671000565,360.0,62.42840778923253,-33.0,336.0,369.0
